date,open,high,close,low,volume
2011-07-06,3116.121,3116.121,3113.712,3084.834,6155580700.0
2011-07-07,3123.29,3140.102,3101.68,3101.096,7181036000.0
2011-07-08,3105.486,3124.386,3109.183,3093.374,5128259300.0
2011-07-11,3097.874,3120.998,3113.206,3086.263,4792066000.0
2011-07-12,3089.136,3090.097,3056.905,3054.8,5710798400.0
2011-07-13,3060.42,3108.497,3106.247,3060.42,5411436700.0
2011-07-14,3112.587,3126.153,3115.745,3092.473,6031493500.0
2011-07-15,3105.497,3130.775,3128.889,3097.336,6155032200.0
2011-07-18,3131.803,3137.922,3122.6,3113.667,6069131100.0
2011-07-19,3108.472,3109.916,3095.125,3088.377,5338870900.0
2011-07-20,3113.705,3119.543,3091.567,3071.85,4411833100.0
2011-07-21,3092.271,3099.278,3059.139,3058.255,4408469100.0
2011-07-22,3066.192,3083.191,3067.985,3059.598,3725725500.0
2011-07-25,3050.897,3050.897,2968.289,2958.878,6718099600.0
2011-07-26,2965.721,2980.857,2977.766,2957.61,4351545700.0
2011-07-27,2961.576,3002.691,3000.052,2951.516,4838561200.0
2011-07-28,2973.642,2984.375,2981.002,2956.71,4813898400.0
2011-07-29,2981.021,2995.974,2972.079,2948.076,4629825300.0
2011-08-01,2969.106,2991.051,2977.721,2958.832,3388694900.0
2011-08-02,2958.85,2958.85,2956.383,2919.014,3897835700.0
2011-08-03,2930.193,2969.132,2954.87,2927.096,3866836200.0
2011-08-04,2962.913,2983.012,2960.309,2951.838,3298571900.0
2011-08-05,2881.737,2916.41,2897.417,2868.157,4931685400.0
2011-08-08,2864.514,2888.769,2793.897,2747.967,7151776600.0
2011-08-09,2720.953,2812.769,2798.19,2697.062,6984267600.0
2011-08-10,2845.352,2858.553,2824.12,2820.123,5865931200.0
2011-08-11,2779.715,2867.311,2866.924,2777.761,5899768900.0
2011-08-12,2881.554,2894.224,2875.365,2868.871,5719740600.0
2011-08-15,2883.174,2917.883,2917.883,2870.19,5987547600.0
2011-08-16,2920.829,2932.14,2897.581,2888.334,5096268100.0
2011-08-17,2893.849,2910.835,2886.013,2881.631,3917817900.0
2011-08-18,2887.103,2889.997,2834.254,2832.269,4076888300.0
2011-08-19,2789.346,2814.099,2807.664,2782.556,4325965000.0
2011-08-22,2809.329,2829.687,2777.787,2768.418,3420968500.0
2011-08-23,2788.699,2821.003,2821.003,2777.287,3262051400.0
2011-08-24,2834.577,2845.47,2810.016,2804.818,3530156500.0
2011-08-25,2818.701,2904.438,2903.837,2815.912,7221684500.0
2011-08-26,2889.382,2907.398,2901.216,2876.828,4560410200.0
2011-08-29,2875.784,2875.784,2852.809,2847.476,4426785000.0
2011-08-30,2875.144,2901.733,2841.74,2838.33,4313787200.0
2011-08-31,2843.993,2855.305,2846.776,2823.77,3210789900.0
2011-09-01,2852.386,2869.249,2834.535,2825.956,3011870200.0
2011-09-02,2828.839,2836.624,2803.854,2790.769,2931711600.0
2011-09-05,2780.834,2780.834,2743.817,2743.383,3200566000.0
2011-09-06,2727.749,2745.36,2723.303,2711.071,2971398200.0
2011-09-07,2738.789,2779.205,2779.09,2730.055,3326538100.0
2011-09-08,2788.832,2789.112,2756.105,2755.799,2683873500.0
2011-09-09,2770.153,2796.352,2751.095,2739.62,2707350300.0
2011-09-13,2712.443,2726.185,2720.283,2698.66,2671376400.0
2011-09-14,2729.256,2736.905,2733.108,2677.127,3042478000.0
2011-09-15,2734.552,2754.193,2729.051,2728.905,3117192500.0
2011-09-16,2744.218,2755.889,2733.987,2728.995,2755593200.0
2011-09-19,2718.318,2718.318,2679.27,2678.795,2909094100.0
2011-09-20,2675.043,2702.28,2689.845,2664.1,2559868100.0
2011-09-21,2691.701,2778.353,2771.011,2677.349,5619417100.0
2011-09-22,2745.146,2754.917,2685.688,2684.94,4710266000.0
2011-09-23,2644.294,2681.227,2669.478,2631.425,4259222400.0
2011-09-26,2645.245,2679.56,2610.919,2603.108,3917512400.0
2011-09-27,2634.925,2652.56,2637.879,2613.423,3502197400.0
2011-09-28,2654.83,2660.099,2610.59,2602.63,3416955500.0
2011-09-29,2593.559,2615.144,2588.185,2577.286,3709359300.0
2011-09-30,2595.582,2607.566,2581.351,2572.193,3205082200.0
2011-10-10,2588.349,2595.324,2557.082,2552.284,2832512200.0
2011-10-11,2625.163,2635.694,2551.994,2526.649,4502984800.0
2011-10-12,2537.398,2647.015,2644.758,2523.344,6594568000.0
2011-10-13,2636.863,2672.91,2662.601,2629.405,6042620100.0
2011-10-14,2655.358,2665.443,2653.782,2629.879,3833694800.0
2011-10-17,2658.947,2687.102,2666.951,2653.384,3615831500.0
2011-10-18,2646.841,2651.732,2592.209,2589.205,3937344800.0
2011-10-19,2599.917,2617.411,2583.081,2580.663,3111616600.0
2011-10-20,2566.603,2570.101,2520.532,2500.486,3984246200.0
2011-10-21,2522.257,2538.117,2507.877,2504.693,2984350300.0
2011-10-24,2517.059,2581.125,2576.669,2501.956,4634580100.0
2011-10-25,2572.708,2633.968,2625.425,2560.047,5796737500.0
2011-10-26,2613.272,2679.658,2651.652,2611.012,7309824000.0
2011-10-27,2658.428,2672.84,2657.478,2647.296,4882039100.0
2011-10-28,2694.542,2729.139,2709.017,2689.376,7164310500.0
2011-10-31,2704.535,2709.317,2695.307,2680.992,5040711200.0
2011-11-01,2672.508,2726.088,2697.534,2669.05,5520665100.0
2011-11-02,2658.547,2742.938,2742.39,2653.722,6436158400.0
2011-11-03,2752.627,2781.039,2744.301,2743.196,8482076000.0
2011-11-04,2770.572,2781.99,2763.746,2748.978,6195821800.0
2011-11-07,2750.991,2769.296,2736.248,2733.168,4537505600.0
2011-11-08,2745.059,2756.091,2727.71,2723.693,4788425200.0
2011-11-09,2739.154,2755.811,2751.654,2710.054,4687796000.0
2011-11-10,2720.836,2729.572,2699.588,2698.306,5117370200.0
2011-11-11,2705.243,2713.914,2695.002,2685.101,3663669600.0
2011-11-14,2717.544,2751.88,2750.195,2714.862,4639094300.0
2011-11-15,2746.773,2754.001,2744.68,2732.913,4175986400.0
2011-11-16,2745.858,2746.29,2670.116,2659.148,5594923900.0
2011-11-17,2671.953,2687.831,2662.017,2660.651,3524765200.0
2011-11-18,2643.667,2646.209,2606.495,2601.179,4241471800.0
2011-11-21,2608.556,2613.262,2609.687,2587.742,2797189600.0
2011-11-22,2592.229,2611.15,2609.475,2580.781,2906907800.0
2011-11-23,2613.291,2617.088,2584.011,2578.157,2853141200.0
2011-11-24,2565.686,2604.236,2588.915,2557.695,3031960100.0
2011-11-25,2585.137,2598.392,2569.973,2563.65,2391376600.0
